questions,keys,datadic
Your child lived with someone who had a problem with drinking or using drugs,ACE_09,ACE_P
"Your child often felt unsupported, unloved and/or unprotected",ACE_10,ACE_P
Your child was in foster care,ACE_11,ACE_P
Your child experienced harassment or bullying at school,ACE_12,ACE_P
Your child lived with a parent or guardian who died,ACE_13,ACE_P
Your child was separated from her/his primary caregiver through deportation or immigration,ACE_14,ACE_P
Your child had a serious medical procedure or life threatening illness,ACE_15,ACE_P
Your child often saw or heard violence in the neighborhood or in her/his school neighborhood,ACE_16,ACE_P
"Your child was often treated badly because of race, sexual orientation, place of birth, disability or religion",ACE_17,ACE_P
Total ACE Score,ACE_Score,ACE
1. You have a friendly talk with your child,APQ_P_01,APQ_P
2. Your ket your child know when he/she is doing a good job with something,APQ_P_02,APQ_P
3. You threaten to punish your child and then do not actuallypunish him/her,APQ_P_03,APQ_P
"4. You volunteer to help with special activities that your child is involved with (such as sports, boy/girl scouts, church youth groups)",APQ_P_04,APQ_P
5. You reward or give something extra to your child for obeying you or behaving well,APQ_P_05,APQ_P
6. You child fails to leave a note to let you know where he/she is going,APQ_P_06,APQ_P
7. You play games or do other fun things with your child,APQ_P_07,APQ_P
8. Your child talks you out of being punished after he/she has done something wrong,APQ_P_08,APQ_P
9. You ask your child about his/her day in school,APQ_P_09,APQ_P
10. Your child stays out in the evening past the time that he/she is supposed to be home,APQ_P_10,APQ_P
11. You help your child with his/her homework,APQ_P_11,APQ_P
12. You give up trying to get your child to obey you because it's too much trouble,APQ_P_12,APQ_P
13. You compliment your child when he/she has done something well,APQ_P_13,APQ_P
14. You ask your child what his/her plans are for the coming day,APQ_P_14,APQ_P
15. You drive your child to a special activity,APQ_P_15,APQ_P
16. You praise your child for behaving well,APQ_P_16,APQ_P
17. You do not know the friends your child is with,APQ_P_17,APQ_P
18. You hug or kiss your child when he/she has done something well,APQ_P_18,APQ_P
19. Your child goed out with a set time to be home,APQ_P_19,APQ_P
20. You talks to your child about his/her friends,APQ_P_20,APQ_P
21. Your child goes out after dark without an adult,APQ_P_21,APQ_P
22. You let your child out of a punishment early (like lift restrictions earlier than you originally said),APQ_P_22,APQ_P
23. Your child helps plan family activities,APQ_P_23,APQ_P
24. You get so busy that you forget where your child is and what he/she is doing,APQ_P_24,APQ_P
25. Your child is not punished when he/she has done something wrong,APQ_P_25,APQ_P
"26. you attend PTA meetings, parent/teacher conderences, or other meetings at your child's school",APQ_P_26,APQ_P
27. You tell your child that you like it when he/she helps out around the house,APQ_P_27,APQ_P
28. You don't check that your child comes home at the time he/she was supposed to,APQ_P_28,APQ_P
29. You don't tell your child where you are going,APQ_P_29,APQ_P
30. Your child comes home from school more than an hour past the time you expect him/her to be home,APQ_P_30,APQ_P
31. The punishment you give your child depends on your mood,APQ_P_31,APQ_P
32. Your child is at home without adult supervision,APQ_P_32,APQ_P
33. You spank your child with your hand when he/she has done something wrong,APQ_P_33,APQ_P
34. You ignore your child when he/she is misbehvaing,APQ_P_34,APQ_P
35. You slap your child when he/she has done something wrong,APQ_P_35,APQ_P
36. You take away privileges or money from your child as punishment,APQ_P_36,APQ_P
37. You send your child  to his/her room as punishment,APQ_P_37,APQ_P
"38. You hit your child with a belt, switch, or other object when he/she has done something wrong",APQ_P_38,APQ_P
39. You yell or scream at your child when he/she has done something wrong,APQ_P_39,APQ_P
40. You calmly explain to your child why his/her behavior was wrong when he/she misbehaves,APQ_P_40,APQ_P
41. You use time out him/her sit or stand in a corner) as punishment,APQ_P_41,APQ_P
42. You give your child extra chores as punishment,APQ_P_42,APQ_P
Involvement Score,APQ_P_INV,APQ_P
Positive Parenting Score,APQ_P_PP,APQ_P
Poor Monitoring/Supervision Score,APQ_P_PM,APQ_P
Inconsistent Discipline Score,APQ_P_ID,APQ_P
Corporal Punishment Score,APQ_P_CP,APQ_P
APQ Total Score,APQ_P_Total,APQ_P
Other Discipline Practices Score (Not factored into total score but provides item level information),APQ_P_OPD,APQ_P
1. You have a friendly talk with your mom,APQ_SR_01,APQ_SR
1A. How about your dad?,APQ_SR_01A,APQ_SR
2. Your parents tell you that you are doing a good job,APQ_SR_02,APQ_SR
3. Your parents threaten to punish you and then not do it,APQ_SR_03,APQ_SR
"4. Your mom helps you with some of your special acivities (such as sports, boy/girl scouts, church youth groups)",APQ_SR_04,APQ_SR
4A. How about your dad?,APQ_SR_04A,APQ_SR
5. Your parents reward or give something extra to you for behaving well,APQ_SR_05,APQ_SR
6. You fail to leave a note or let your parents know where you are going,APQ_SR_06,APQ_SR
7. You play games or do other fun things with your mom,APQ_SR_07,APQ_SR
7A. How about your dad?,APQ_SR_07A,APQ_SR
8. You talk your parents out of punishing you after you have done something wrong,APQ_SR_08,APQ_SR
9. Your mom asks you about your day in school,APQ_SR_09,APQ_SR
9A. How about your dad?,APQ_SR_09A,APQ_SR
10. You stay out in the evening past the time you are supposed to be home,APQ_SR_10,APQ_SR
11. Your mom helps you with your homework,APQ_SR_11,APQ_SR
11A. How about your dad?,APQ_SR_11A,APQ_SR
12. Your parents give up trying to get you to obey them because it's too much trouble,APQ_SR_12,APQ_SR
13. Your parents compliment you when you have done something well,APQ_SR_13,APQ_SR
14. Your mom asks you what your plans are for the coming day,APQ_SR_14,APQ_SR
14A. How about your dad?,APQ_SR_14A,APQ_SR
15. Your mom drives you to a special activity,APQ_SR_15,APQ_SR
15A. How about your dad?,APQ_SR_15A,APQ_SR
16. Your parents praise you for behaving well,APQ_SR_16,APQ_SR
17. Your parents do not know the friends you are with,APQ_SR_17,APQ_SR
18. Your parents hug or kiss you when you have done something well,APQ_SR_18,APQ_SR
19. You go out with a set time to be home,APQ_SR_19,APQ_SR
20. Your mom talks to you about your friends,APQ_SR_20,APQ_SR
20A. How about your dad?,APQ_SR_20A,APQ_SR
21. You go out after dark without an adult with you,APQ_SR_21,APQ_SR
22. Your parents let you out of a punishment early (like lift restrictions earlier than they originally said),APQ_SR_22,APQ_SR
23. You help plan family activities,APQ_SR_23,APQ_SR
24. Your parents get so busy that they forget where you are and what you are doing,APQ_SR_24,APQ_SR
25. Your parents do not punish you when you have done something wrong,APQ_SR_25,APQ_SR
"26. Your mom goes to a meeting at school, like a PTA meeting, or a parent/teacher conference",APQ_SR_26,APQ_SR
26A. How about your dad?,APQ_SR_26A,APQ_SR
27. Your parents tell you that they like it when you help out around the house,APQ_SR_27,APQ_SR
28. You stay out later than you are supposed to and your parents don't know it,APQ_SR_28,APQ_SR
29. Your parents leave the house and don't tell you where they are going,APQ_SR_29,APQ_SR
30. You come home from school more than an hour past the time your parents expect you to be home,APQ_SR_30,APQ_SR
31. The punishment your parents give depends on their mood,APQ_SR_31,APQ_SR
32. You are at home without an adult being with you,APQ_SR_32,APQ_SR
33. Your parents spank you with their hand when you have done something wrong,APQ_SR_33,APQ_SR
34. Your parents ignore you when you are misbehvaing ,APQ_SR_34,APQ_SR
35. Your parents slap you when you have done something wrong,APQ_SR_35,APQ_SR
36. Your parents take away a privilege or money from you as punishment,APQ_SR_36,APQ_SR
37. Your parents send you to your room as punishment,APQ_SR_37,APQ_SR
"38. Your parents hit you with a belt, switch, or other object when you have done something wrong",APQ_SR_38,APQ_SR
39. Your parents yell or scream at you when you have done something wrong,APQ_SR_39,APQ_SR
40. Your parents calmly explain to you why your behavior was wrong when you misbehave,APQ_SR_40,APQ_SR
41. Your parents use time out (make you sit or stand in a corner) as punishment,APQ_SR_41,APQ_SR
42. Your parents give you extra chores as punishment,APQ_SR_42,APQ_SR
Mother Involvement Score,APQ_SR_INV_D,APQ_SR
Father Involvement Score,APQ_SR_INV_M,APQ_SR
Positive Parenting Score,APQ_SR_PP,APQ_SR
Poor Monitoring/Supervision Score,APQ_SR_PM,APQ_SR
Inconsistent Discipline Score,APQ_SR_ID,APQ_SR
Corporal Punishment Score,APQ_SR_CP,APQ_SR
APQ Total Score,APQ_SR_OPD,APQ_SR
Other Discipline Practices Score (Not factored into total score but provides item level information),APQ_SR_Total,APQ_SR
Is easily annoyed by others,ARI_P_01,ARI_P
Often loses his/her temper,ARI_P_02,ARI_P
Stays angry for a long time,ARI_P_03,ARI_P
Is angry most of the time,ARI_P_04,ARI_P
Gets angry frequently,ARI_P_05,ARI_P
Loses temper easily,ARI_P_06,ARI_P
"Overall, irritability causes him/her problems",ARI_P_07,ARI_P
Total Score,ARI_P_Total_Score,ARI_P
I am easily annoyed by others,ARI_S_01,ARI_S
I often lose my temper,ARI_S_02,ARI_S
I stay angry for a long time,ARI_S_03,ARI_S
I am angry most of the time,ARI_S_04,ARI_S
I get angry frequently,ARI_S_05,ARI_S
I lose my temper easily,ARI_S_06,ARI_S
"Overall, irritability causes me problems",ARI_S_07,ARI_S
Total Score,ARI_S_Total_Score,ARI_S
1. I am too forgetful,ASR_01,ASR
2. I make good  use of my opportunities,ASR_02,ASR
3. I argue a lot,ASR_03,ASR
4. I work up to my ability,ASR_04,ASR
5. I blame others for my problems,ASR_05,ASR
6. I use drugs (other than alcohol and nicotine) for nonmedical purposes (describe):,ASR_06,ASR
7. I brag,ASR_07,ASR
8. I have trouble concentrating or paying attention for long,ASR_08,ASR
9. I can't get my mind off certain thoughts (describe):,ASR_09,ASR
10. I have trouble sitting still,ASR_10,ASR
11. I am too dependent on others,ASR_11,ASR
12. I feel lonely,ASR_12,ASR
13. I feel confused or in a fog ,ASR_13,ASR
14. I cry a lot,ASR_14,ASR
15. I am pretty honest,ASR_15,ASR
16. I am mean to others,ASR_16,ASR
17. I daydream a lot,ASR_17,ASR
18. I deliberately try to hurt or kill myself,ASR_18,ASR
19. I try to get a lot of attention,ASR_19,ASR
20. I damage or destroy my things ,ASR_20,ASR
21. I damage or destroy things belonging to others,ASR_21,ASR
22. I worry about my future,ASR_22,ASR
23. I break rules at work or elsewhere,ASR_23,ASR
24. I don't eat as well as I should,ASR_24,ASR
25. I don't get along with other people,ASR_25,ASR
26. I don't feel guilty after doing something I shouldn't,ASR_26,ASR
27. I am jealous of others,ASR_27,ASR
28. I get along badly with my family,ASR_28,ASR
"29. I am afraid of certain animals, situations, or places (describe):",ASR_29,ASR
30. My relations with the opposite sex are poor,ASR_30,ASR
31. I am afraid I might think or do something bad,ASR_31,ASR
32. I feel that I have to be perfect,ASR_32,ASR
33. I feel that no one loves me,ASR_33,ASR
34. I feel that others are out to get me,ASR_34,ASR
35. I feel worthless or inferior,ASR_35,ASR
"36. I accidentally get hurt a lot, accident-prone",ASR_36,ASR
37. I get in many fights,ASR_37,ASR
38. My relations with neighbors are poor,ASR_38,ASR
39. I hang around people who get in trouble,ASR_39,ASR
40. I hear sounds or voices that other people think aren't there (describe):,ASR_40,ASR
41. I am impulsive or act without thinking,ASR_41,ASR
42. I would rather be alone than with others,ASR_42,ASR
43. I lie or cheat,ASR_43,ASR
44. I feel overwhelmed by my responsibilities,ASR_44,ASR
45. I am nervous or tense,ASR_45,ASR
46. Parts of my body twitch or make nervous movements,ASR_46,ASR
47. I lack self-confidence,ASR_47,ASR
48. I am not liked by others,ASR_48,ASR
49. I can do certain things better than other people,ASR_49,ASR
50. I am too fearful or anxious,ASR_50,ASR
51. I feel dizzy or lightheaded,ASR_51,ASR
52. I feel too guilty,ASR_52,ASR
53. I have trouble planning for the future,ASR_53,ASR
54. I feel tired without good reason,ASR_54,ASR
55. My moods swing between elation and depression,ASR_55,ASR
56a. Physical problems without known medical cause: aches or pains (not stomach or headaches),ASR_56a,ASR
56b. Physical problems without known medical cause: Headaches,ASR_56b,ASR
"56c. Physical problems without known medical cause: Nausea, feel sick",ASR_56c,ASR
56d. Physical problems without known medical cause: Problems with eyes (not if corrected by glasses),ASR_56d,ASR
57. I physically attack people,ASR_57,ASR
58. I pick my skin or other parts of my body (describe):,ASR_58,ASR
59. I fail to finish things I should do,ASR_59,ASR
60. There is very little that I enjoy,ASR_60,ASR
61. My work performance is poor,ASR_61,ASR
62. I am poorly coordinated or clumsy,ASR_62,ASR
63. I would rather be with older people than with people of my own age,ASR_63,ASR
64. I have trouble setting priorities,ASR_64,ASR
65. I refuse to talk,ASR_65,ASR
66. I repeat certain acts over and over (describe):,ASR_66,ASR
67. I have trouble making or keeping friends,ASR_67,ASR
68. I scream or yell a lot,ASR_68,ASR
69. I am secretive or keep things to myself,ASR_69,ASR
70. I see things that other people think aren't there (describe),ASR_70,ASR
71. I am self-conscious or eaily embarassed,ASR_71,ASR
72. I worry about my family,ASR_72,ASR
73. I meet responsibilities to my family,ASR_73,ASR
74. I show off or clown,ASR_74,ASR
75. I am too shy or timid,ASR_75,ASR
76. My behavior is irresponsible,ASR_76,ASR
77. I sleep more than most other people during the day and/or night,ASR_77,ASR
78. I have trouble making decisions,ASR_78,ASR
79. I have a speech problem (describe),ASR_79,ASR
80. I stand up for my rights,ASR_80,ASR
81. My behavior is very changeable,ASR_81,ASR
82. I steal,ASR_82,ASR
83. I am easily bored,ASR_83,ASR
84. I do things that other people think are strange (describe):,ASR_84,ASR
85. I have thoughts that other people would think are strange (describe):,ASR_85,ASR
"86. I am stubborn, sullen, or irritable",ASR_86,ASR
87. My moods or feelings change suddenly,ASR_87,ASR
88. I enjoy being with people,ASR_88,ASR
89. I rush into things without considering the risks,ASR_89,ASR
90. I drink too much alcohol or get drunk,ASR_90,ASR
91. I think about killing myself,ASR_91,ASR
92. I do things that may cause me trouble with the law,ASR_92,ASR
93. I talk too much,ASR_93,ASR
94. I tease others a lot,ASR_94,ASR
95. I have a hot temper,ASR_95,ASR
96. I am passive or lack initiative,ASR_96,ASR
97. I threaten to hurt people,ASR_97,ASR
98. I like to help others,ASR_98,ASR
99. I dislike staying in one place for very long,ASR_99,ASR
100. I have trouble sleeping,ASR_100,ASR
101. I stay away from my job even when I'm not sick or not on vacation,ASR_101,ASR
102. I don't have much energy ,ASR_102,ASR
"103. I am unhappy, sad, or depressed",ASR_103,ASR
104. I am louder than others,ASR_104,ASR
105. People think I am disorganized,ASR_105,ASR
106. I try to be fair to others,ASR_106,ASR
107. I feel that I can't succeed,ASR_107,ASR
108. I tend to lose things,ASR_108,ASR
109. I like to try new things,ASR_109,ASR
110. I wish I were of the opposite sex,ASR_110,ASR
111. I keep from getting involved with others,ASR_111,ASR
112. I worry a lot,ASR_112,ASR
113. I worrk about my relations with the opposite sex,ASR_113,ASR
114. I fail to pay my debts or meet other financial responsibilities,ASR_114,ASR
115. I feel restless or fidgety,ASR_115,ASR
116. I get upset too easily,ASR_116,ASR
117. I have trouble managing money or credit cards,ASR_117,ASR
118. I am too impatient,ASR_118,ASR
119. I am not good at details,ASR_119,ASR
120. I drive too fast,ASR_120,ASR
121. I tend to be late for appointments,ASR_121,ASR
122. I have trouble keeping a job,ASR_122,ASR
123. I am a happy person,ASR_123,ASR
"124. In the past 6 months, how many times per day did you use tobacco (including smokeless tobacco)",ASR_124,ASR
"125. In the past 6 months, on how many days were you drunk?",ASR_125,ASR
"126. In the past 6 months, on how many days did you use drugs for nonmedical purposes (including marijuana, cocaine, and other drugs, except alcohol and nicotine)?",ASR_126,ASR
ASR Anxious/Depressed Score,ASR_AD,ASR
ASR Anxious/Depressed T-Score,ASR_AD_T,ASR
ASR Withdrawn Score,ASR_WD,ASR
ASR Withdrawn T-Score,ASR_WD_T,ASR
ASR Somatic Complaints Score,ASR_SC,ASR
ASR Somatic Complaints T-Score,ASR_SC_T,ASR
ASR Thought Problems Score,ASR_TP,ASR
ASR Thought Problems T-Score,ASR_TP_T,ASR
ASR Attention Problems Score,ASR_AP,ASR
ASR Attention Problems T-Score,ASR_AP_T,ASR
ASR Rule-Breaking Behavior Score,ASR_RBB,ASR
ASR Rule-Breaking Behavior T-Score,ASR_RBB_T,ASR
ASR Aggressive Behavior Score,ASR_AB,ASR
ASR Aggressive Behavior T-Score,ASR_AB_T,ASR
ASR Other Problems Score,ASR_OP,ASR
ASR Internalizing Score,ASR_Int,ASR
ASR Internalizing T-Score,ASR_Int_T,ASR
ASR Externalizing Score,ASR_Ext,ASR
ASR Externalizing T-Score,ASR_Ext_T,ASR
ASR Intrusive Score,ASR_Intrusive,ASR
ASR Intrusive T-Score,ASR_Intrusive_T,ASR
ASR C Score,ASR_C,ASR
ASR Total Score,ASR_Total,ASR
ASR Total Score T-Score,ASR_Total_T,ASR
is old-fashioned or precocious,ASSQ_01,ASSQ
is regarded as an 'eccentric professor' by th,ASSQ_02,ASSQ
lives somewhat in a world of his/her own with restricted idiosyncratic intellectual interests,ASSQ_03,ASSQ
accumulates facts on certain subjects (good rote memory) but does not really understand the meaning,ASSQ_04,ASSQ
"""has a literal understanding of ambiguous and metaphoric language (i.e. takes things literally  troubles understanding expressions or metaphors)""",ASSQ_05,ASSQ
"has a deviant style of communication with a formal, fussy, 'old-fashioned' or 'robotlike' language (i.e. talks differently than other child",ASSQ_06,ASSQ
"invents idiosyncratic words and expressions (i.e. makes up his or her own words, expressions or names for things)",ASSQ_07,ASSQ
has a different voice or speech,ASSQ_08,ASSQ
"""expresses sounds involuntarily  clears throat, grunts, smacks, cries or screams""",ASSQ_09,ASSQ
is surprisingly good at some things and surprisingly poor at others,ASSQ_10,ASSQ
uses language freely but fails to make adjustments to fit social contexts or the needs of different listeners,ASSQ_11,ASSQ
"lacks empathy (i.e. tends to see things only from his/her own perspective, and has troubles seeing things from other's perspective)",ASSQ_12,ASSQ
makes na've and embarrassing re,ASSQ_13,ASSQ
"has a deviant style of gaze (e.g. may range from not looking people in the eye, to the other extreme of staring directly at people to the point it makes them uncomfortable)",ASSQ_14,ASSQ
wishes to be sociable but fails to make relationships with peers,ASSQ_15,ASSQ
can be with other children but only on his/her terms,ASSQ_16,ASSQ
lacks best friend,ASSQ_17,ASSQ
lacks common sense,ASSQ_18,ASSQ
"""is poor at games  no idea of cooperating in a team, scores 'ow""",ASSQ_19,ASSQ
"has clumsy, ill coordinated, ungainly, awkward movements or gestures",ASSQ_20,ASSQ
has involuntary face or body movements (i.e. any tics?),ASSQ_21,ASSQ
has difficulties in completing simple daily activities because of compulsory repetition of certain actions or thoughts (i.e. any habits that s/he just has to do?),ASSQ_22,ASSQ
"""has special routines  insists on no change (i.e. may need to have exactly the same change  troubles with even the slightest change in his/her environment, or routines or activities)""",ASSQ_23,ASSQ
shows idiosyncratic attachment to objects (i.e. may get strangely attached to objects as if they were people),ASSQ_24,ASSQ
is bullied by other children,ASSQ_25,ASSQ
has markedly unusual facial expression,ASSQ_26,ASSQ
has markedly unusual posture,ASSQ_27,ASSQ
ASSQ Score,ASSQ_Total,ASSQ
1. How often do you have a drink containing alcohol?,AUDIT_01,AUDIT
2. How many drinks containing alcohol do you have on a typical day when you are drinking?,AUDIT_02,AUDIT
2a. Have you ever had at least three drinks on one occasion?,AUDIT_02_a,AUDIT
2b. Have you ever had at least two drinks on one occasion?,AUDIT_02_b,AUDIT
3. How often do you have six or more drinks on one occassion?,AUDIT_03,AUDIT
4. How often during the last year have you found that you were not able to stop drinking once you had started?,AUDIT_04,AUDIT
IF NEVER: 4a. Have you ever found that you were not able to stop drinking once you had started?,AUDIT_04_a,AUDIT
5. How often during the last year have you failed to do what was normally expected of you because of drinking?,AUDIT_05,AUDIT
6. How often during the last year have you needed a first drink in the morning to get yourself going after a heavy drinking session?,AUDIT_06,AUDIT
7. How often during the last year have you had a feeling of guilt or remorse after drinking?,AUDIT_07,AUDIT
8. How often during the last year have you been unable to remember what happened the night before because you had been drinking?,AUDIT_08,AUDIT
9. Have you or someone else been injured as a result of your drinking?,AUDIT_09,AUDIT
"10. Has a relative or friend, or a doctor or other health worker been concerned about your drinking or suggested you cut down?",AUDIT_10,AUDIT
Total Score,AUDIT_Total_Score,AUDIT
Father's level of education,Father_Edu,Barratt
Mother's level of education,Mother_Edu,Barratt
Father's level of occupation,Father_Occupation,Barratt
Mother's level of occupation,Mother_Occupation,Barratt
Education total score,Total_Edu,Barratt
Occupation total score,Occupation_Total,Barratt
Barratt Total Score,Barratt_Total,Barratt
Participant ID,EID,BasicDemo
Start Date,START_DATE,BasicDemo
Participant ID,Patient_ID,BasicDemo
Sex,Sex,No Key
Age,Age,No Key
Sex,Sex,No Key
Age,Age,No Key
Body Frame,Frame,BIA
Activity Level,Activity_Level,BIA
Height,Height,Physica
Weight,Weight,Physica
Body Fat Percentage,Fat,BIA
Lean Dry Mass,LDM,BIA
Intracellular Water,ICW,BIA
Body Mass Index,BMI,BIA
Extracellular Water,ECW,BIA
Fat Free Mass,FFM,BIA
Total Body Water,TBW,BIA
Skeletal Muscle Mass,SMM,BIA
Fat Mass Index,FMI,BIA
Fat Free Mass Index,FFMI,BIA
Bone Mineral Content,BMC,BIA
Lean Soft Tissue,LST,BIA
Basal Metabolic Rate,BMR,BIA
Daily Energy Expenditure,DEE,BIA
1. I blurt out the first thing that I think of.,C3SR_01,C3SR
2. I struggle to complete hard tasks,C3SR_02,C3SR
3. It is hard for me to pay attention to details.,C3SR_03,C3SR
4. It is hard for me to sit still,C3SR_04,C3SR
5. I can't pay attention f,C3SR_05,C3SR
6. I am good at some things,C3SR_06,C3SR
7. I make mistakes.,C3SR_07,C3SR
8. I do things to hurt people,C3SR_08,C3SR
9. I have trouble understanding what I read.,C3SR_09,C3SR
10. I start fights with other people,C3SR_10,C3SR
11. I like it when people say good things about me.,C3SR_11,C3SR
"""12. I tell the truth  I do not even tell """"little white lies.""""""",C3SR_12,C3SR
13. I have trouble with spelling.,C3SR_13,C3SR
14. I lose track of what I am supposed to do,C3SR_14,C3SR
15. I have trouble playing or doing things quietly. ,C3SR_15,C3SR
16 I get distracted by things that are going on around me,C3SR_16,C3SR
17. I break things when I am angry or upset.,C3SR_17,C3SR
18. I have trouble finishing things,C3SR_18,C3SR
19. Punishment in my house is not fair.,C3SR_19,C3SR
"20. I am happy, even when I am waiting in a long line.",C3SR_20,C3SR
21. People like being around me.,C3SR_21,C3SR
22. My parents expect too much from me.,C3SR_22,C3SR
23. I enjoy myself when I do my favorite activities. ,C3SR_23,C3SR
24. I act like an angel.,C3SR_24,C3SR
25. I am happy and cheerful.,C3SR_25,C3SR
26. My parents are too harsh when they punish me.,C3SR_26,C3SR
27. I have trouble concentrating.,C3SR_27,C3SR
28. I am perfect in every way.,C3SR_28,C3SR
29. I am restless.,C3SR_29,C3SR
"30. When I get mad at someone, I get even with them.",C3SR_30,C3SR
31. I talk too much.,C3SR_31,C3SR
32. I destroy stuff that belongs to other people,C3SR_32,C3SR
33. I have trouble with reading.,C3SR_33,C3SR
34. My parents are too critical of me.,C3SR_34,C3SR
35. I can't do thing,C3SR_35,C3SR
36. I learn more slowly than other kids my age.,C3SR_36,C3SR
37. My parents are too strict with me.,C3SR_37,C3SR
38. I have trouble with math.,C3SR_38,C3SR
39. I bully or threaten other people. ,C3SR_39,C3SR
Defiance/Aggression Raw Score,C3SR_AG,C3SR
Defiance/Aggression T-Score,C3SR_AG_T,C3SR
Family Relations Raw Score,C3SR_FR,C3SR
Family Relations T-Score,C3SR_FR_T,C3SR
Hyperactivity/Impulsivity Raw Score,C3SR_HY,C3SR
Hyperactivity/Impulsivity T-Score,C3SR_HY_T,C3SR
Inattention Raw Score,C3SR_IN,C3SR
Inattention T-Score,C3SR_IN_T,C3SR
Learning Problems Raw Score,C3SR_LP,C3SR
Learning Problems T-Score,C3SR_LP_T,C3SR
Negative Impression Raw Score,C3SR_NI,C3SR
Positive Impression Raw Score,C3SR_PI,C3SR
1. I interrupt others when talking.,CAARS_01,CAARS
2. I am always on the go as if driven by a motor.,CAARS_02,CAARS
3. I'm disor,CAARS_03,CAARS
4. It's hard for me to stay in one place ve,CAARS_04,CAARS
5. It's hard for me to keep track of several things ,CAARS_05,CAARS
6. I'm bored,CAARS_06,CAARS
7. I have a short fuse/hot temper.,CAARS_07,CAARS
8. I still throw tantrums.,CAARS_08,CAARS
9. I avoid new challenges because I lack faith in my abilities.,CAARS_09,CAARS
"10. I seek out fast paced, exciting activities.",CAARS_10,CAARS
11. I feel restless inside even if I am sitting still.,CAARS_11,CAARS
12. Things I hear or see distract me from what I',CAARS_12,CAARS
13. Many things set me off easily.,CAARS_13,CAARS
14. I am an underachiever.,CAARS_14,CAARS
15. I get down on myself.,CAARS_15,CAARS
"16. I act okay on the outside, but inside I'm unsure of",CAARS_16,CAARS
17. I can't get things done unless there's an ab,CAARS_17,CAARS
18. I have trouble getting started on a task.,CAARS_18,CAARS
19. I intrude on others' act,CAARS_19,CAARS
20. My moods are unpredictable.,CAARS_20,CAARS
21. I'm absent-minded in daily act,CAARS_21,CAARS
"""22. Sometimes my attention narrows so much that I'm oblivious to everything else  other times it's so broad that everythi""",CAARS_22,CAARS
23. I tend to squirm or fidget.,CAARS_23,CAARS
24. I can't keep my mind on something unless it's rea,CAARS_24,CAARS
25. I wish I had greater confidence in my abilities.,CAARS_25,CAARS
26. My past failures make it hard for me to believe in myself.,CAARS_26,CAARS
Inattention/Memory Problems Raw Score,CAARS_IM_Raw,CAARS
Inattention/Memory Problems T-Score,CAARS_IM_T,CAARS
Hyperactivity/Restlessness Raw Score,CAARS_HR_Raw,CAARS
Hyperactivity/Restlessness T-Score,CAARS_HR_T,CAARS
Impulsivity/Emotional Lability Raw Score,CAARS_IE_Raw,CAARS
Impulsivity/Emotional Lability T-Score,CAARS_IE_T,CAARS
Problems with Self-Concept Raw Score,CAARS_SC_Raw,CAARS
Problems with Self-Concept T-Score,CAARS_SC_T,CAARS
ADHD Index Raw Score,CAARS_ADHD_Raw,CAARS
ADHD Index T-Score,CAARS_ADHD_T,CAARS
1. Acts too young for his/her age,CBCL_01,CBCL
2. Drinks alcohol without parents' approval,CBCL_02,CBCL
3. Argues a lot,CBCL_03,CBCL
4. Fails to finish things he/she starts,CBCL_04,CBCL
5. There is very little he/she enjoys,CBCL_05,CBCL
6. Bowel movements outside toilet,CBCL_06,CBCL
"7. Bragging, boasting",CBCL_07,CBCL
